angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.01,"[839, 200, 281, 350]",0.0,0.05,0.0,0.88,0.05,0.01
0.02,"[838, 199, 281, 352]",0.0,0.06,0.0,0.85,0.07,0.01
0.02,"[838, 199, 281, 352]",0.0,0.06,0.0,0.85,0.07,0.01
0.02,"[838, 199, 281, 352]",0.0,0.06,0.0,0.85,0.07,0.01
0.01,"[816, 178, 298, 383]",0.0,0.02,0.0,0.87,0.1,0.0
0.02,"[815, 178, 299, 383]",0.0,0.02,0.0,0.84,0.12,0.0
0.02,"[819, 186, 292, 378]",0.0,0.03,0.0,0.75,0.19,0.0
0.02,"[819, 186, 292, 378]",0.0,0.03,0.0,0.75,0.2,0.0
0.02,"[819, 185, 293, 379]",0.0,0.03,0.0,0.77,0.18,0.0
0.08,"[824, 203, 290, 361]",0.0,0.13,0.0,0.51,0.27,0.01
0.08,"[824, 202, 290, 363]",0.0,0.13,0.0,0.51,0.27,0.01
0.04,"[818, 183, 296, 380]",0.0,0.06,0.0,0.48,0.4,0.02
0.04,"[818, 183, 296, 380]",0.0,0.07,0.0,0.48,0.4,0.02
0.04,"[818, 183, 296, 380]",0.0,0.07,0.0,0.48,0.4,0.02
0.11,"[834, 212, 277, 348]",0.0,0.12,0.0,0.35,0.42,0.01
0.11,"[833, 212, 278, 348]",0.0,0.14,0.0,0.35,0.4,0.01
0.08,"[819, 187, 294, 375]",0.0,0.12,0.0,0.28,0.44,0.07
0.08,"[819, 187, 294, 375]",0.0,0.12,0.0,0.28,0.45,0.07
0.08,"[819, 187, 294, 375]",0.0,0.12,0.0,0.28,0.45,0.07
0.1,"[819, 185, 295, 377]",0.0,0.1,0.0,0.29,0.43,0.08
0.09,"[819, 186, 295, 376]",0.0,0.11,0.0,0.27,0.44,0.09
0.09,"[819, 186, 295, 375]",0.0,0.12,0.0,0.29,0.41,0.09
0.09,"[819, 186, 295, 375]",0.0,0.12,0.0,0.3,0.4,0.09
0.09,"[819, 186, 295, 375]",0.0,0.12,0.0,0.3,0.4,0.09
0.12,"[819, 185, 295, 375]",0.0,0.1,0.0,0.28,0.44,0.06
0.12,"[819, 185, 295, 375]",0.0,0.1,0.0,0.28,0.44,0.05
0.16,"[819, 185, 295, 373]",0.0,0.09,0.0,0.29,0.4,0.06
0.16,"[819, 185, 295, 374]",0.0,0.1,0.0,0.27,0.42,0.06
0.16,"[819, 185, 295, 374]",0.0,0.1,0.0,0.27,0.42,0.06
0.16,"[819, 184, 296, 374]",0.0,0.09,0.0,0.29,0.4,0.05
0.16,"[819, 184, 296, 374]",0.0,0.09,0.0,0.29,0.4,0.05
0.13,"[820, 184, 296, 374]",0.0,0.1,0.0,0.33,0.4,0.04
0.13,"[820, 184, 296, 375]",0.0,0.11,0.0,0.34,0.37,0.06
0.13,"[820, 184, 296, 375]",0.0,0.11,0.0,0.34,0.37,0.06
0.15,"[820, 184, 296, 375]",0.0,0.09,0.0,0.37,0.35,0.05
0.14,"[820, 184, 296, 375]",0.0,0.09,0.0,0.37,0.35,0.05
0.16,"[821, 185, 294, 373]",0.0,0.09,0.0,0.33,0.38,0.04
0.16,"[821, 185, 294, 373]",0.0,0.09,0.0,0.33,0.38,0.04
0.11,"[820, 185, 296, 376]",0.0,0.1,0.0,0.35,0.37,0.07
0.11,"[820, 186, 295, 374]",0.0,0.11,0.0,0.36,0.35,0.07
0.11,"[820, 186, 295, 374]",0.0,0.11,0.0,0.36,0.35,0.07
0.1,"[821, 186, 295, 375]",0.0,0.14,0.0,0.31,0.35,0.1
0.1,"[820, 186, 296, 376]",0.0,0.13,0.0,0.35,0.33,0.1
0.1,"[820, 186, 296, 375]",0.0,0.14,0.0,0.32,0.35,0.09
0.1,"[821, 187, 294, 374]",0.0,0.16,0.0,0.34,0.31,0.1
0.09,"[821, 187, 294, 374]",0.0,0.16,0.0,0.34,0.31,0.1
0.09,"[821, 187, 295, 374]",0.0,0.14,0.0,0.37,0.35,0.05
0.09,"[821, 187, 295, 374]",0.0,0.13,0.0,0.38,0.36,0.05
0.09,"[821, 187, 295, 374]",0.0,0.13,0.0,0.38,0.35,0.05
0.1,"[821, 187, 294, 372]",0.0,0.17,0.0,0.26,0.42,0.05
0.08,"[821, 187, 294, 373]",0.0,0.15,0.0,0.32,0.4,0.05
0.08,"[844, 201, 278, 348]",0.0,0.09,0.0,0.52,0.29,0.02
0.08,"[844, 201, 277, 348]",0.0,0.09,0.0,0.51,0.29,0.02
0.09,"[844, 201, 277, 348]",0.0,0.09,0.0,0.51,0.29,0.02
0.09,"[844, 200, 278, 349]",0.0,0.09,0.0,0.45,0.34,0.02
0.14,"[820, 186, 295, 373]",0.0,0.16,0.0,0.21,0.44,0.05
0.1,"[844, 200, 278, 349]",0.0,0.11,0.0,0.43,0.33,0.02
0.16,"[821, 186, 294, 372]",0.0,0.17,0.0,0.17,0.45,0.05
0.16,"[821, 186, 294, 372]",0.0,0.17,0.0,0.17,0.45,0.05
0.12,"[821, 186, 293, 373]",0.0,0.17,0.0,0.2,0.46,0.04
0.13,"[821, 186, 293, 373]",0.0,0.17,0.0,0.19,0.46,0.04
0.14,"[820, 186, 294, 373]",0.0,0.19,0.0,0.17,0.43,0.06
0.17,"[821, 186, 293, 372]",0.0,0.17,0.0,0.16,0.46,0.04
0.17,"[821, 186, 293, 372]",0.0,0.17,0.0,0.16,0.46,0.04
0.17,"[821, 186, 293, 373]",0.0,0.15,0.0,0.16,0.46,0.06
0.18,"[821, 186, 294, 373]",0.0,0.14,0.0,0.17,0.48,0.03
0.17,"[822, 186, 294, 373]",0.0,0.14,0.0,0.22,0.42,0.05
0.18,"[822, 186, 294, 373]",0.0,0.13,0.0,0.22,0.43,0.04
0.08,"[842, 197, 281, 354]",0.0,0.07,0.0,0.45,0.38,0.02
0.1,"[823, 181, 299, 382]",0.0,0.11,0.0,0.42,0.32,0.04
0.1,"[823, 181, 299, 382]",0.0,0.12,0.0,0.42,0.32,0.05
0.11,"[823, 182, 299, 381]",0.0,0.1,0.0,0.39,0.36,0.04
0.11,"[823, 182, 299, 381]",0.0,0.1,0.0,0.38,0.36,0.04
0.11,"[823, 182, 299, 381]",0.0,0.1,0.0,0.38,0.36,0.04
0.1,"[845, 197, 280, 355]",0.0,0.06,0.0,0.41,0.41,0.01
0.1,"[845, 197, 280, 355]",0.0,0.06,0.0,0.41,0.41,0.02
0.19,"[823, 187, 293, 372]",0.0,0.12,0.0,0.25,0.41,0.04
0.19,"[823, 187, 293, 372]",0.0,0.12,0.0,0.25,0.41,0.04
0.18,"[823, 187, 293, 372]",0.0,0.12,0.0,0.25,0.41,0.04
0.09,"[851, 201, 274, 347]",0.0,0.07,0.0,0.42,0.41,0.01
0.09,"[850, 201, 275, 347]",0.0,0.06,0.0,0.4,0.44,0.01
0.08,"[847, 199, 278, 351]",0.0,0.09,0.0,0.39,0.43,0.01
0.1,"[847, 199, 278, 352]",0.0,0.1,0.0,0.37,0.41,0.02
0.1,"[847, 199, 278, 352]",0.0,0.1,0.0,0.37,0.41,0.02
0.1,"[847, 200, 279, 350]",0.0,0.11,0.0,0.33,0.44,0.01
0.11,"[847, 200, 279, 350]",0.0,0.11,0.0,0.32,0.44,0.01
0.12,"[847, 199, 280, 353]",0.0,0.09,0.0,0.28,0.5,0.01
0.11,"[847, 199, 280, 353]",0.0,0.09,0.0,0.29,0.49,0.02
0.11,"[847, 199, 280, 353]",0.0,0.09,0.0,0.29,0.49,0.02
0.15,"[845, 198, 281, 354]",0.0,0.1,0.0,0.25,0.47,0.02
0.15,"[846, 198, 280, 354]",0.0,0.1,0.0,0.24,0.48,0.02
0.16,"[843, 198, 283, 357]",0.0,0.09,0.0,0.26,0.46,0.02
0.15,"[842, 198, 284, 358]",0.0,0.1,0.0,0.28,0.46,0.02
0.15,"[842, 198, 284, 358]",0.0,0.1,0.0,0.28,0.46,0.02
0.13,"[841, 198, 284, 358]",0.0,0.1,0.0,0.27,0.49,0.02
0.13,"[842, 199, 284, 358]",0.0,0.1,0.0,0.26,0.5,0.01
0.14,"[828, 185, 294, 373]",0.0,0.14,0.0,0.25,0.45,0.01
0.14,"[828, 185, 294, 373]",0.0,0.14,0.0,0.25,0.45,0.01
0.11,"[842, 201, 284, 354]",0.0,0.13,0.0,0.27,0.47,0.02
0.12,"[843, 200, 283, 356]",0.0,0.12,0.0,0.27,0.47,0.01
0.12,"[843, 200, 283, 355]",0.0,0.1,0.0,0.3,0.46,0.01
0.13,"[828, 184, 294, 373]",0.0,0.14,0.0,0.2,0.52,0.01
0.12,"[828, 184, 294, 373]",0.0,0.15,0.0,0.2,0.52,0.01
0.13,"[828, 184, 294, 373]",0.0,0.15,0.0,0.2,0.51,0.01
0.16,"[844, 200, 280, 352]",0.0,0.13,0.0,0.24,0.45,0.02
0.16,"[844, 200, 280, 352]",0.0,0.13,0.0,0.24,0.45,0.02
0.14,"[844, 200, 281, 353]",0.0,0.12,0.0,0.29,0.43,0.01
0.12,"[827, 185, 294, 372]",0.0,0.13,0.0,0.19,0.55,0.01
0.12,"[827, 185, 294, 372]",0.0,0.13,0.0,0.19,0.55,0.01
0.12,"[844, 200, 279, 354]",0.0,0.14,0.0,0.34,0.36,0.03
0.14,"[843, 198, 281, 357]",0.0,0.15,0.0,0.3,0.38,0.02
0.1,"[838, 194, 284, 363]",0.0,0.17,0.0,0.27,0.41,0.06
0.1,"[838, 194, 285, 363]",0.0,0.16,0.0,0.27,0.41,0.06
0.1,"[838, 194, 285, 363]",0.0,0.16,0.0,0.27,0.41,0.06
0.07,"[829, 188, 294, 373]",0.0,0.18,0.0,0.24,0.46,0.05
0.07,"[828, 188, 296, 374]",0.0,0.17,0.0,0.24,0.48,0.05
0.07,"[828, 188, 295, 372]",0.0,0.16,0.0,0.25,0.48,0.04
0.07,"[828, 188, 295, 373]",0.0,0.17,0.0,0.25,0.46,0.04
0.07,"[828, 188, 295, 373]",0.0,0.17,0.0,0.25,0.46,0.04
0.07,"[828, 188, 295, 372]",0.0,0.16,0.0,0.3,0.43,0.04
0.06,"[828, 188, 295, 371]",0.0,0.15,0.0,0.32,0.42,0.04
0.07,"[828, 189, 295, 370]",0.0,0.16,0.0,0.33,0.41,0.03
0.07,"[828, 189, 295, 370]",0.0,0.16,0.0,0.33,0.41,0.03
0.07,"[828, 189, 295, 370]",0.0,0.16,0.0,0.33,0.41,0.03
0.06,"[828, 186, 296, 372]",0.0,0.13,0.0,0.44,0.35,0.03
0.06,"[827, 185, 297, 374]",0.0,0.13,0.0,0.43,0.35,0.03
0.08,"[828, 185, 296, 374]",0.0,0.13,0.0,0.38,0.37,0.04
0.08,"[828, 185, 296, 374]",0.0,0.12,0.0,0.38,0.37,0.04
0.07,"[828, 186, 296, 372]",0.0,0.13,0.0,0.32,0.43,0.04
0.07,"[828, 185, 295, 373]",0.0,0.13,0.0,0.31,0.43,0.05
0.06,"[828, 186, 295, 372]",0.0,0.13,0.0,0.35,0.41,0.05
0.09,"[845, 201, 279, 353]",0.0,0.18,0.0,0.43,0.26,0.04
0.09,"[845, 201, 279, 353]",0.0,0.18,0.0,0.44,0.26,0.04
0.09,"[845, 201, 279, 353]",0.0,0.18,0.0,0.43,0.26,0.04
0.08,"[841, 198, 282, 357]",0.0,0.17,0.0,0.41,0.3,0.03
0.08,"[841, 198, 282, 357]",0.0,0.17,0.0,0.4,0.31,0.03
0.08,"[843, 200, 280, 354]",0.0,0.16,0.0,0.49,0.25,0.03
0.08,"[843, 200, 280, 354]",0.0,0.15,0.0,0.49,0.25,0.03
0.08,"[843, 200, 280, 354]",0.0,0.15,0.0,0.49,0.25,0.03
0.08,"[841, 201, 282, 352]",0.0,0.17,0.0,0.48,0.25,0.02
0.08,"[841, 201, 282, 352]",0.0,0.17,0.0,0.48,0.26,0.02
0.08,"[841, 201, 282, 352]",0.0,0.16,0.0,0.49,0.25,0.02
0.08,"[841, 201, 282, 352]",0.0,0.16,0.0,0.49,0.25,0.02
0.08,"[841, 201, 282, 352]",0.0,0.16,0.0,0.49,0.25,0.02
0.07,"[839, 199, 283, 354]",0.0,0.14,0.0,0.5,0.27,0.02
0.07,"[841, 200, 281, 353]",0.0,0.14,0.0,0.5,0.27,0.02
0.08,"[840, 199, 282, 354]",0.0,0.12,0.0,0.52,0.26,0.03
0.08,"[840, 199, 282, 354]",0.0,0.12,0.0,0.52,0.25,0.02
0.08,"[840, 199, 282, 354]",0.0,0.12,0.0,0.52,0.25,0.02
0.05,"[844, 204, 279, 347]",0.0,0.09,0.0,0.6,0.24,0.01
0.05,"[844, 204, 279, 347]",0.0,0.1,0.0,0.6,0.24,0.01
0.08,"[841, 204, 282, 352]",0.0,0.1,0.0,0.57,0.24,0.01
0.07,"[841, 205, 282, 351]",0.0,0.09,0.0,0.6,0.23,0.01
0.07,"[841, 205, 282, 351]",0.0,0.09,0.0,0.6,0.23,0.01
0.06,"[842, 203, 281, 352]",0.0,0.06,0.0,0.57,0.29,0.01
0.06,"[842, 203, 281, 352]",0.0,0.06,0.0,0.57,0.29,0.01
0.09,"[845, 203, 280, 352]",0.0,0.09,0.0,0.47,0.33,0.02
0.09,"[845, 203, 280, 352]",0.0,0.09,0.0,0.47,0.33,0.02
0.06,"[841, 204, 281, 353]",0.0,0.06,0.0,0.66,0.21,0.02
0.1,"[823, 192, 296, 377]",0.0,0.13,0.0,0.36,0.32,0.09
0.09,"[823, 192, 296, 378]",0.0,0.14,0.0,0.38,0.29,0.1
0.05,"[842, 206, 278, 352]",0.0,0.08,0.0,0.62,0.22,0.03
0.07,"[823, 194, 296, 379]",0.0,0.12,0.0,0.5,0.23,0.08
0.07,"[823, 194, 296, 379]",0.0,0.12,0.0,0.5,0.23,0.08
0.05,"[824, 194, 295, 379]",0.0,0.08,0.0,0.53,0.33,0.01
0.04,"[824, 194, 295, 378]",0.0,0.07,0.0,0.56,0.32,0.01
0.04,"[824, 196, 295, 376]",0.0,0.07,0.0,0.57,0.3,0.02
0.04,"[825, 196, 293, 374]",0.0,0.06,0.0,0.58,0.31,0.01
0.04,"[825, 196, 293, 374]",0.0,0.06,0.0,0.58,0.31,0.01
0.05,"[833, 203, 288, 362]",0.0,0.09,0.0,0.47,0.37,0.02
0.05,"[833, 203, 288, 362]",0.0,0.09,0.0,0.48,0.36,0.02
0.05,"[834, 204, 286, 361]",0.0,0.11,0.0,0.43,0.36,0.04
0.06,"[834, 204, 286, 361]",0.0,0.11,0.0,0.42,0.36,0.04
0.06,"[834, 204, 286, 361]",0.0,0.11,0.0,0.42,0.36,0.04
0.07,"[837, 206, 284, 358]",0.0,0.15,0.0,0.41,0.31,0.07
0.07,"[837, 206, 284, 358]",0.0,0.15,0.0,0.41,0.31,0.07
0.1,"[837, 203, 284, 360]",0.0,0.1,0.0,0.39,0.35,0.05
0.08,"[835, 202, 285, 362]",0.0,0.09,0.0,0.36,0.38,0.08
0.08,"[835, 202, 285, 362]",0.0,0.09,0.0,0.36,0.38,0.08
0.07,"[838, 206, 284, 356]",0.0,0.13,0.0,0.41,0.36,0.03
0.07,"[838, 206, 284, 356]",0.0,0.13,0.0,0.41,0.36,0.03
0.08,"[840, 207, 282, 353]",0.0,0.13,0.0,0.49,0.26,0.03
0.08,"[840, 207, 282, 353]",0.0,0.13,0.0,0.49,0.26,0.03
0.08,"[840, 207, 282, 353]",0.0,0.13,0.0,0.49,0.26,0.03
0.09,"[846, 211, 281, 348]",0.0,0.15,0.0,0.45,0.27,0.04
0.09,"[846, 211, 281, 348]",0.0,0.16,0.0,0.45,0.27,0.04
0.07,"[829, 197, 293, 368]",0.0,0.09,0.0,0.48,0.35,0.02
0.07,"[829, 197, 293, 368]",0.0,0.08,0.0,0.48,0.35,0.02
0.07,"[829, 197, 294, 368]",0.0,0.07,0.0,0.51,0.34,0.02
0.09,"[850, 208, 280, 350]",0.0,0.11,0.0,0.53,0.26,0.02
0.08,"[850, 209, 279, 349]",0.0,0.1,0.0,0.57,0.23,0.02
0.07,"[850, 208, 279, 350]",0.0,0.08,0.0,0.63,0.2,0.02
0.07,"[850, 208, 279, 350]",0.0,0.08,0.0,0.63,0.2,0.02
0.07,"[850, 208, 279, 350]",0.0,0.08,0.0,0.63,0.2,0.02
0.08,"[849, 206, 279, 349]",0.0,0.08,0.0,0.63,0.2,0.01
0.09,"[849, 207, 279, 349]",0.0,0.09,0.0,0.57,0.24,0.01
0.06,"[849, 203, 280, 350]",0.0,0.09,0.0,0.61,0.22,0.01
0.07,"[849, 203, 281, 349]",0.0,0.09,0.0,0.59,0.24,0.01
0.07,"[848, 203, 282, 349]",0.0,0.09,0.0,0.59,0.24,0.01
0.07,"[846, 196, 281, 348]",0.0,0.09,0.0,0.64,0.19,0.01
0.06,"[846, 196, 281, 348]",0.0,0.08,0.0,0.65,0.18,0.01
0.08,"[847, 189, 281, 353]",0.0,0.12,0.0,0.57,0.22,0.01
0.1,"[848, 191, 280, 351]",0.0,0.13,0.0,0.53,0.23,0.01
0.1,"[848, 191, 280, 351]",0.0,0.13,0.0,0.52,0.23,0.01
0.04,"[832, 168, 297, 367]",0.0,0.11,0.0,0.59,0.24,0.01
0.04,"[832, 168, 297, 367]",0.0,0.11,0.0,0.59,0.24,0.01
0.12,"[850, 175, 281, 343]",0.0,0.23,0.0,0.4,0.23,0.02
0.13,"[851, 176, 279, 341]",0.0,0.25,0.0,0.36,0.25,0.02
0.13,"[851, 176, 279, 341]",0.0,0.25,0.0,0.36,0.25,0.02
0.15,"[851, 174, 277, 335]",0.0,0.32,0.0,0.24,0.27,0.02
0.15,"[852, 174, 276, 335]",0.0,0.33,0.0,0.25,0.25,0.01
0.14,"[852, 171, 276, 332]",0.0,0.33,0.0,0.29,0.22,0.02
0.15,"[851, 171, 277, 332]",0.0,0.33,0.0,0.28,0.22,0.02
0.15,"[851, 171, 277, 332]",0.0,0.33,0.0,0.28,0.23,0.02
0.1,"[852, 170, 274, 329]",0.0,0.37,0.0,0.26,0.25,0.02
0.11,"[852, 170, 274, 327]",0.0,0.31,0.0,0.27,0.29,0.02
0.08,"[853, 169, 274, 329]",0.0,0.37,0.0,0.29,0.24,0.03
0.09,"[853, 170, 274, 328]",0.0,0.37,0.0,0.27,0.24,0.02
0.01,"[852, 202, 270, 339]",0.0,0.05,0.0,0.86,0.08,0.01
0.01,"[847, 200, 276, 345]",0.0,0.08,0.0,0.82,0.09,0.01
0.01,"[848, 200, 275, 345]",0.0,0.08,0.0,0.82,0.09,0.01
0.01,"[848, 200, 275, 345]",0.0,0.08,0.0,0.82,0.09,0.01
0.01,"[844, 199, 279, 348]",0.0,0.05,0.0,0.87,0.06,0.01
0.01,"[844, 199, 278, 348]",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"[844, 199, 278, 348]",0.0,0.04,0.0,0.88,0.06,0.01
0.01,"[844, 199, 278, 348]",0.0,0.04,0.0,0.88,0.06,0.01
